tire_model,rim_in,tireid,n_points,mu_at_250N,mu_at_600N,mu_at_650N_GRIP,mu_peak,Fy_peak_600N_N,SA_peak_deg,CS_600N_N_per_deg,fit_rms_N,best_rim
Goodyear D2704 20.0x7.0-13,7,"Goodyear D2704 20.0x7.0-13, 7 inch rim",14324,2.948,2.874,2.855,3.088,1724,14,574.1,290.9,1
Hoosier 43100 18.0x6.0-10 R20,6,"Hoosier 43100 18.0x6.0-10 R20, 6 inch rim",18320,3.009,2.749,2.71,3.198,1650,14,417.3,223.4,1
Goodyear D2704 20.0x7.0-13,8,"Goodyear D2704 20.0x7.0-13, 8 inch rim",15876,2.768,2.711,2.694,2.98,1627,14,563.5,262.8,0
Goodyear D0571 18.0x6.5-10,6,"Goodyear D0571 18.0x6.5-10, 6 inch rim",18410,2.821,2.705,2.683,2.995,1623,14,505.5,245.8,1
Goodyear D0571 18.0x6.5-10,7,"Goodyear D0571 18.0x6.5-10, 7 inch rim",18428,2.797,2.68,2.666,3.019,1608,14,521,254.8,0
Hoosier 43100 18.0x6.0-10 R20,7,"Hoosier 43100 18.0x6.0-10 R20, 7 inch rim",18425,2.859,2.682,2.659,3.048,1609,14,422.8,222.9,0
Hoosier 43075 16x7.5-10 R20,7,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",18427,2.736,2.598,2.578,2.894,1559,14,417.4,212.9,1
Hoosier 43164 20.5x7.0-13 R20,7,"Hoosier 43164 20.5x7.0-13 R20, 7 inch rim",14325,2.641,2.552,2.535,2.696,1531,14,551.5,284.6,1
Hoosier 43075 16x7.5-10 R20,8,"Hoosier 43075 16x7.5-10 R20, 8 inch rim",18424,2.651,2.545,2.532,2.801,1527,14,427.4,220.1,0
Hoosier 43164 20.5x7.0-13 R20,8,"Hoosier 43164 20.5x7.0-13 R20, 8 inch rim",14324,2.562,2.492,2.477,2.66,1495,10.72,568,275.4,0
Hoosier 43070 16x6.0-10 R20,6,"Hoosier 43070 16x6.0-10 R20, 6 inch rim",18426,2.658,2.48,2.457,2.865,1488,14,353.7,197.8,1
Hoosier 43070 16x6.0-10 R20,7,"Hoosier 43070 16x6.0-10 R20, 7 inch rim",18423,2.599,2.451,2.431,2.753,1471,14,363.8,199.3,0
MRF 18.0x6.0-10 ZTD1,7,"MRF 18.0x6.0-10 ZTD1,7 inch rim",18425,2.08,1.986,1.975,2.171,1192,4.64,510.5,197.9,1
MRF 18.0x6.0-10 ZTD1,6,"MRF 18.0x6.0-10 ZTD1, 6 inch rim",18427,2.019,1.93,1.92,2.098,1158,7.07,560.1,202.3,0
